"PI_Accession","EGS_Score"
"PI578699",7.60313252466694
"PI440041",7.5514463252932
"PI314189",7.5408429759062
"PI440039",7.41090933494676
"PI314193",7.36760430526953
"PI440037",6.93360736002054
"PI440053",6.8295974476535
"PI440055",6.65893901247602
"PI440056",6.55802088639692
"PI440043",6.50214274192513
"PI440040",6.4517975552854
"PI440047",6.43137593469909
"PI401176",6.42473359327639
"PI440038",6.30293146211623
"PI619581",6.25461644603985
"PI440050",6.24613908410258
"PI440026",6.13829418378248
"PI314190",6.06988987994331
"PI440057",6.03416210106624
"PI440049",5.99353974400225
"PI440046",5.93009398184558
"PI440036",5.69881766708359
"PI440045",5.61375793467091
"PI440054",5.5565064980972
"PI210990",5.53539006336514
"PI440048",5.41906722939947
"PI440051",5.26133040792975
"PI440022",5.10753298819829
"PI314191",5.07308349549142
"PI249146",5.02733280878735
"PI440023",4.98711643821723
"PI440024",4.68867321469997
"PI401219",4.62945104518449
